"","chromosome","start","stop","driver_line","X5","X6","gene"
"36","chr2L",228076,230306,"VT00104",50,".",NA
"37","chr2L",229365,231563,"VT00105",50,".",NA
"38","chr2L",230498,232611,"VT00106",50,".",NA
"39","chr2L",242019,244270,"VT00107",50,".",NA
"40","chr2L",243746,245841,"VT00108",50,".",NA
"41","chr2L",245396,247649,"VT00109",50,".",NA
"42","chr2L",250756,251202,"VT00112",50,".",NA
"43","chr2L",277152,277728,"R57B08",1000,"+",NA
"44","chr2L",278271,278671,"R15G02",1000,"+",NA
"45","chr2L",283242,283450,"VT00129",50,".",NA
"46","chr2L",284106,286259,"VT00130",50,".",NA
"47","chr2L",285217,287380,"VT00131",50,".",NA
"48","chr2L",288875,290893,"VT00132",50,".",NA
"49","chr2L",306237,310266,"R17F04",1000,"+","Plc21C"
"50","chr2L",312053,316053,"R17F03",1000,"+","Plc21C"
"51","chr2L",314598,317793,"R16G09",1000,"+",NA
"52","chr2L",318082,320086,"R16C08",1000,"+",NA
"53","chr2L",319408,323305,"R17E02",1000,"+",NA
"54","chr2L",321999,325713,"R17C12",1000,"+",NA
"55","chr2L",325798,328458,"R16E01",1000,"+","Plc21C"
"56","chr2L",327556,331066,"R17B05",1000,"+",NA
"57","chr2L",330492,334179,"R17C07",1000,"+","Plc21C"
"58","chr2L",334227,335439,"R16A06",1000,"+","Plc21C"
"59","chr2L",335519,336059,"R15G09",1000,"+","Plc21C"
"60","chr2L",336510,337043,"R15G08",1000,"+","Plc21C"
"61","chr2L",337159,337963,"R15H08",1000,"+",NA
"62","chr2L",338086,339269,"R18A03",1000,"+","Plc21C"
"63","chr2L",339306,340734,"R16B03",1000,"+",NA
"64","chr2L",340785,342616,"R16C03",1000,"+","Plc21C"
"65","chr2L",365941,369512,"R35F04",1000,"+","al"
"66","chr2L",370985,375025,"R36C05",1000,"+","al"
"67","chr2L",373957,377842,"R36A06",1000,"+","al"
"68","chr2L",380461,384549,"R36C06",1000,"+","al"
"69","chr2L",384867,385737,"R34F11",1000,"+",NA
"70","chr2L",385696,386388,"R34F07",1000,"+",NA
"71","chr2L",455548,456979,"VT00204",50,".",NA
"72","chr2L",458606,460563,"VT00205",50,".",NA
"73","chr2L",542535,542947,"VT00248",50,".",NA
"74","chr2L",544170,544616,"VT00249",50,".",NA
"75","chr2L",544586,545182,"VT00250",50,".",NA
"76","chr2L",544631,545187,"R57B07",1000,"+",NA
"77","chr2L",545256,545891,"VT00251",50,".",NA
"78","chr2L",547071,547528,"VT00252",50,".",NA
"79","chr2L",548314,548960,"R87E12",1000,"-",NA
"80","chr2L",549472,551077,"R87E11",1000,"-",NA
"81","chr2L",551806,552464,"VT00255",50,".",NA
"82","chr2L",552585,553516,"R87E10",1000,"-",NA
"83","chr2L",579519,581579,"VT00266",50,".",NA
"84","chr2L",580471,582588,"VT00267",50,".",NA
"85","chr2L",581470,583741,"VT00268",50,".",NA
"86","chr2L",584274,586488,"VT00269",50,".",NA
"87","chr2L",584278,588130,"R84B09",1000,"-","Gsc"
"88","chr2L",585826,587936,"VT00270",50,".",NA
"89","chr2L",586924,589750,"R84B10",1000,"-","Gsc"
"90","chr2L",588531,592347,"R84B11",1000,"-",NA
"91","chr2L",592497,593791,"VT00274",50,".",NA
"92","chr2L",592530,593617,"R84B12",1000,"-","Gsc"
"93","chr2L",594183,594824,"VT00275",50,".",NA
"94","chr2L",594987,597647,"R84B07",1000,"-",NA
"95","chr2L",596158,599310,"R84C01",1000,"-",NA
"96","chr2L",596726,598791,"VT00277",50,".",NA
"97","chr2L",597778,599872,"VT00278",50,".",NA
"98","chr2L",598780,602094,"R84B08",1000,"-","Gsc"
"99","chr2L",598791,601002,"VT00279",50,".",NA
"100","chr2L",645690,648018,"R18D10",1000,"-","ds"
"101","chr2L",650246,652819,"R18E08",1000,"-","ds"
"102","chr2L",653258,654272,"R17H06",1000,"-",NA
"103","chr2L",654658,655396,"R17G04",1000,"-",NA
"104","chr2L",655840,656736,"R17G12",1000,"-",NA
"105","chr2L",657334,659665,"R18D11",1000,"-",NA
"106","chr2L",662132,666130,"R19E06",1000,"-","ds"
"107","chr2L",668405,672326,"R19D12",1000,"-","ds"
"108","chr2L",671605,674797,"R18H03",1000,"-","ds"
"109","chr2L",673961,677363,"R19A05",1000,"-","ds"
"110","chr2L",676092,678169,"R18C09",1000,"-","ds"
"111","chr2L",677338,680921,"R19B05",1000,"-","ds"
"112","chr2L",680250,684133,"R19D10",1000,"-","ds"
"113","chr2L",696041,699290,"R18H07",1000,"-","ds"
"114","chr2L",697895,701647,"R19C01",1000,"-",NA
"115","chr2L",700634,702788,"VT00327",50,".",NA
"116","chr2L",703409,705895,"R18E03",1000,"-","ds"
"117","chr2L",707826,709826,"R18C04",1000,"-",NA
"118","chr2L",708925,712083,"R18H01",1000,"-",NA
"119","chr2L",711386,714300,"R18F09",1000,"-","ds"
"120","chr2L",715267,718621,"R18H10",1000,"-",NA
"121","chr2L",717781,719641,"R18B10",1000,"-","ds"
"122","chr2L",718595,722350,"R19C02",1000,"-","ds"
"123","chr2L",724931,727412,"R18E02",1000,"-",NA
"124","chr2L",725796,728442,"VT00341",50,".",NA
"125","chr2L",730427,732657,"VT00342",50,".",NA
"126","chr2L",732024,734172,"VT00343",50,".",NA
"127","chr2L",735151,737255,"VT00345",50,".",NA
"128","chr2L",739901,740407,"VT00347",50,".",NA
"129","chr2L",739987,740399,"R74F11",1000,"-",NA
"130","chr2L",740623,742788,"VT00348",50,".",NA
"131","chr2L",741751,743375,"R74F07",1000,"-","Eaat2"
"132","chr2L",742271,744374,"VT00349",50,".",NA
"133","chr2L",743485,744221,"R74F09",1000,"-","Eaat2"
"134","chr2L",744355,746905,"VT00350",50,".",NA
"135","chr2L",745043,747896,"R74F12",1000,"-","Eaat2"
"136","chr2L",745395,747896,"R76C07",1000,"+","GABA-B-R3"
"137","chr2L",746280,748374,"VT00351",50,".",NA
"138","chr2L",746875,749517,"R76C03",1000,"+",NA
"139","chr2L",748523,752105,"R74F10",1000,"-","Eaat2"
"140","chr2L",748523,752481,"R76C05",1000,"+","GABA-B-R3"
"141","chr2L",748825,750915,"VT00353",50,".",NA
"142","chr2L",753706,754512,"R76B10",1000,"+","GABA-B-R3"
"143","chr2L",754604,755073,"R76C06",1000,"+","GABA-B-R3"
"144","chr2L",755254,755902,"R76C02",1000,"+","GABA-B-R3"
"145","chr2L",757397,757833,"R76C01",1000,"+","GABA-B-R3"
"146","chr2L",757914,758875,"R76B09",1000,"+","GABA-B-R3"
"147","chr2L",762067,764189,"VT00357",50,".",NA
"148","chr2L",762150,766019,"R76B11",1000,"+","CG12506"
"149","chr2L",765293,767388,"VT00359",50,".",NA
"150","chr2L",765403,767200,"R76B12",1000,"+","CG12506"
"151","chr2L",765998,768676,"R76C04",1000,"+","CG12506"
"152","chr2L",766890,769060,"VT00360",50,".",NA
"153","chr2L",767704,770478,"R76C08",1000,"+",NA
"154","chr2L",772191,773620,"VT00362",50,".",NA
"155","chr2L",826481,829336,"R16E09",1000,"+",NA
"156","chr2L",830323,830773,"R15G07",1000,"+",NA
"157","chr2L",917706,919920,"VT00440",50,".",NA
"158","chr2L",918805,920902,"VT00441",50,".",NA
"159","chr2L",922814,924894,"VT00443",50,".",NA
"160","chr2L",924596,926677,"VT00444",50,".",NA
"161","chr2L",926355,928443,"VT00445",50,".",NA
"162","chr2L",929936,932031,"VT00447",50,".",NA
"163","chr2L",933501,935600,"VT00449",50,".",NA
"164","chr2L",935265,937384,"VT00450",50,".",NA
"165","chr2L",937049,939137,"VT00451",50,".",NA
"166","chr2L",942407,944503,"VT00454",50,".",NA
"167","chr2L",944145,946378,"VT00455",50,".",NA
"168","chr2L",945907,948100,"VT00456",50,".",NA
"169","chr2L",949550,951670,"VT00458",50,".",NA
"170","chr2L",955940,956507,"VT00460",50,".",NA
"171","chr2L",956568,957379,"VT00461",50,".",NA
"172","chr2L",958044,960156,"VT00462",50,".",NA
"173","chr2L",959784,961863,"VT00463",50,".",NA
"174","chr2L",963184,965360,"VT00465",50,".",NA
"175","chr2L",968385,970534,"VT00468",50,".",NA
"176","chr2L",1112591,1113081,"VT00534",50,".",NA
"177","chr2L",1112984,1113860,"VT00535",50,".",NA
"178","chr2L",1114073,1114877,"VT00536",50,".",NA
"179","chr2L",1242108,1244308,"VT00605",50,".",NA
"180","chr2L",1242273,1246113,"R46A06",1000,"+","robo3"
"181","chr2L",1243832,1246124,"VT00606",50,".",NA
"182","chr2L",1245120,1249067,"R46C11",1000,"+",NA
"183","chr2L",1245713,1247794,"VT00607",50,".",NA
"184","chr2L",1247472,1249637,"VT00608",50,".",NA
"185","chr2L",1248294,1252123,"R46A02",1000,"+","robo3"
"186","chr2L",1249212,1251375,"VT00609",50,".",NA
"187","chr2L",1251071,1253252,"VT00610",50,".",NA
"188","chr2L",1251537,1255519,"R46D08",1000,"+",NA
"189","chr2L",1252807,1254924,"VT00611",50,".",NA
"190","chr2L",1256655,1258985,"R43H12",1000,"+","robo3"
"191","chr2L",1256737,1259024,"VT00613",50,".",NA
"192","chr2L",1258125,1261912,"R45H04",1000,"+","robo3"
"193","chr2L",1260911,1264445,"R45C05",1000,"+",NA
"194","chr2L",1263663,1266668,"R44F08",1000,"+","robo3"
"195","chr2L",1265795,1269784,"R46E02",1000,"+",NA
"196","chr2L",1265798,1267882,"VT00618",50,".",NA
"197","chr2L",1267525,1269658,"VT00619",50,".",NA
"198","chr2L",1268831,1270688,"R43F01",1000,"+","robo3"
"199","chr2L",1269366,1271511,"VT00620",50,".",NA
"200","chr2L",1269708,1273621,"R46C04",1000,"+","robo3"
"201","chr2L",1272936,1275026,"VT00622",50,".",NA
"202","chr2L",1273745,1277583,"R46A05",1000,"+","robo3"
"203","chr2L",1276421,1280628,"R46F02",1000,"+","robo3"
"204","chr2L",1276525,1278627,"VT00624",50,".",NA
"205","chr2L",1278316,1280419,"VT00625",50,".",NA
"206","chr2L",1280657,1284638,"R46D06",1000,"+",NA
"207","chr2L",1281881,1284000,"VT00627",50,".",NA
"208","chr2L",1283710,1285794,"VT00628",50,".",NA
"209","chr2L",1284858,1285328,"R43A02",1000,"+","robo3"
"210","chr2L",1287003,1289097,"VT00629",50,".",NA
"211","chr2L",1287716,1288161,"R42H11",1000,"+","robo3"
"212","chr2L",1288267,1289483,"R43D03",1000,"+","robo3"
"213","chr2L",1289703,1292676,"R44F01",1000,"+","robo3"
"214","chr2L",1298259,1300348,"VT00635",50,".",NA
"215","chr2L",1382574,1384953,"R27G11",1000,"-","robo2"
"216","chr2L",1385183,1386873,"R27F07",1000,"-",NA
"217","chr2L",1387480,1390917,"R28D05",1000,"-","robo2"
"218","chr2L",1394727,1395941,"R27D10",1000,"-","robo2"
"219","chr2L",1395876,1398008,"VT00688",50,".",NA
"220","chr2L",1395963,1397091,"R27D07",1000,"-",NA
"221","chr2L",1397212,1400129,"R28A12",1000,"-","robo2"
"222","chr2L",1399110,1402845,"R28F02",1000,"-",NA
"223","chr2L",1401911,1405612,"R28E10",1000,"-",NA
"224","chr2L",1404151,1407705,"R28D10",1000,"-","robo2"
"225","chr2L",1406724,1410605,"R28G05",1000,"-","robo2"
"226","chr2L",1407877,1410078,"VT00695",50,".",NA
"227","chr2L",1409888,1413457,"R28D12",1000,"-","robo2"
"228","chr2L",1412857,1416718,"R28F12",1000,"-","robo2"
"229","chr2L",1415247,1417729,"R27H02",1000,"-","robo2"
"230","chr2L",1416693,1420007,"R28C04",1000,"-","robo2"
"231","chr2L",1420767,1423775,"R28B05",1000,"-","robo2"
"232","chr2L",1422751,1425652,"R28A10",1000,"-","robo2"
"233","chr2L",1428055,1431710,"R28E07",1000,"-",NA
"234","chr2L",1534184,1536381,"VT00765",50,".",NA
"235","chr2L",1537502,1539714,"VT00767",50,".",NA
"236","chr2L",1539238,1541347,"VT00768",50,".",NA
"237","chr2L",1540940,1543073,"VT00769",50,".",NA
"238","chr2L",1542659,1544767,"VT00770",50,".",NA
"239","chr2L",1544249,1546451,"VT00771",50,".",NA
"240","chr2L",1545957,1548150,"VT00772",50,".",NA
"241","chr2L",1547751,1549998,"VT00773",50,".",NA
"242","chr2L",1549448,1551565,"VT00774",50,".",NA
"243","chr2L",1551126,1553346,"VT00775",50,".",NA
"244","chr2L",1552677,1555201,"VT00776",50,".",NA
"245","chr2L",1615201,1617629,"R39H11",1000,"+",NA
"246","chr2L",1616067,1618220,"VT00809",50,".",NA
"247","chr2L",1616864,1620457,"R41E07",1000,"+",NA
"248","chr2L",1617792,1619910,"VT00810",50,".",NA
"249","chr2L",1619271,1623717,"R42H05",1000,"+",NA
"250","chr2L",1619556,1621632,"VT00811",50,".",NA
"251","chr2L",1621230,1623444,"VT00812",50,".",NA
"252","chr2L",1622992,1626851,"R42C04",1000,"+",NA
"253","chr2L",1626299,1629012,"R40B11",1000,"+","chinmo"
"254","chr2L",1626476,1628690,"VT00815",50,".",NA
"255","chr2L",1628219,1632688,"R42H06",1000,"+","chinmo"
"256","chr2L",1628228,1630428,"VT00816",50,".",NA
"257","chr2L",1629929,1632118,"VT00817",50,".",NA
"258","chr2L",1631358,1634898,"R41D09",1000,"+","chinmo"
"259","chr2L",1631676,1633775,"VT00818",50,".",NA
"260","chr2L",1634364,1636235,"R39F02",1000,"+",NA
"261","chr2L",1635127,1637234,"VT00820",50,".",NA
"262","chr2L",1635667,1639625,"R42E08",1000,"+",NA
"263","chr2L",1638619,1640714,"VT00822",50,".",NA
"264","chr2L",1640262,1642449,"VT00823",50,".",NA
"265","chr2L",1641461,1644528,"R40F08",1000,"+",NA
"266","chr2L",1642021,1644176,"VT00824",50,".",NA
"267","chr2L",1647253,1649360,"VT00827",50,".",NA
"268","chr2L",1651244,1653442,"VT00829",50,".",NA
"269","chr2L",1651365,1652862,"R39C11",1000,"+","chinmo"
"270","chr2L",1652834,1656639,"R42A12",1000,"+",NA
"271","chr2L",1652926,1655077,"VT00830",50,".",NA
"272","chr2L",1654580,1656818,"VT00831",50,".",NA
"273","chr2L",1656378,1658488,"VT00832",50,".",NA
"274","chr2L",1657426,1660907,"R41C07",1000,"+","chinmo"
"275","chr2L",1658116,1660238,"VT00833",50,".",NA
"276","chr2L",1659568,1661913,"VT00834",50,".",NA
"277","chr2L",1660220,1663260,"R40F06",1000,"+",NA
"278","chr2L",1662183,1665938,"R41H08",1000,"+","chinmo"
"279","chr2L",1663170,1665352,"VT00836",50,".",NA
"280","chr2L",1664946,1667142,"VT00837",50,".",NA
"281","chr2L",1665206,1667902,"R40B10",1000,"+",NA
"282","chr2L",1670157,1674392,"R42G09",1000,"+",NA
"283","chr2L",1671844,1673922,"VT00841",50,".",NA
"284","chr2L",1673553,1675720,"VT00842",50,".",NA
"285","chr2L",1673767,1677086,"R41A08",1000,"+","chinmo"
"286","chr2L",1675712,1678900,"R40G10",1000,"+","chinmo"
"287","chr2L",1686379,1688496,"VT00845",50,".",NA
"288","chr2L",1686543,1690175,"R41F07",1000,"+","chinmo"
"289","chr2L",1689452,1691560,"VT00847",50,".",NA
"290","chr2L",1690724,1694263,"R41D08",1000,"+","chinmo"
"291","chr2L",1690933,1693096,"VT00848",50,".",NA
"292","chr2L",1692515,1694660,"VT00849",50,".",NA
"293","chr2L",1698564,1700753,"VT00850",50,".",NA
"294","chr2L",1699768,1701881,"VT00851",50,".",NA
"295","chr2L",1731722,1732292,"VT00868",50,".",NA
"296","chr2L",1732224,1732562,"VT00869",50,".",NA
"297","chr2L",1732525,1734645,"VT00870",50,".",NA
"298","chr2L",1734275,1736475,"VT00871",50,".",NA
"299","chr2L",1736075,1738179,"VT00872",50,".",NA
"300","chr2L",1739663,1741778,"VT00874",50,".",NA
"301","chr2L",1741927,1744242,"VT00875",50,".",NA
"302","chr2L",1743640,1745766,"VT00876",50,".",NA
"303","chr2L",1745914,1748086,"VT00877",50,".",NA
"304","chr2L",1836194,1840078,"R55H02",1000,"+",NA
"305","chr2L",1838091,1840256,"VT00921",50,".",NA
"306","chr2L",1838612,1842618,"R59D12",1000,"+",NA
"307","chr2L",1839451,1841629,"VT00922",50,".",NA
"308","chr2L",1840747,1843088,"VT00923",50,".",NA
"309","chr2L",1844676,1848551,"R59C12",1000,"+","wry"
"310","chr2L",1846360,1848492,"VT00925",50,".",NA
"311","chr2L",1847912,1851154,"R55F11",1000,"+",NA
"312","chr2L",1848036,1850221,"VT00926",50,".",NA
"313","chr2L",1849872,1852015,"VT00927",50,".",NA
"314","chr2L",1851245,1851723,"R54C12",1000,"+","wry"
"315","chr2L",1852125,1852697,"R54D12",1000,"+","wry"
"316","chr2L",1852755,1853545,"R54G03",1000,"+",NA
"317","chr2L",1853552,1854211,"R54E12",1000,"+","wry"
"318","chr2L",1854267,1855392,"R55A07",1000,"+","wry"
"319","chr2L",1855579,1856653,"VT00930",50,".",NA
"320","chr2L",1855701,1856501,"R54G04",1000,"+",NA
"321","chr2L",1945688,1949576,"R9D03",1000,"-","erm"
"322","chr2L",1946644,1950452,"R9D04",1000,"-","erm"
"323","chr2L",1952712,1954414,"R9D05",1000,"-",NA
"324","chr2L",1954487,1957952,"R9D06",1000,"-","erm"
"325","chr2L",1956400,1958532,"VT00983",50,".",NA
"326","chr2L",1956872,1960038,"R9D08",1000,"-","erm"
"327","chr2L",1958014,1960258,"VT00984",50,".",NA
"328","chr2L",1958686,1961800,"R9D09",1000,"-",NA
"329","chr2L",1959777,1961930,"VT00985",50,".",NA
"330","chr2L",1959935,1963599,"R9D10",1000,"-","erm"
"331","chr2L",1961506,1965461,"R9D11",1000,"-","erm"
"332","chr2L",2160524,2161273,"R34F08",1000,"-",NA
"333","chr2L",2161491,2163698,"R34H06",1000,"-","aop"
"334","chr2L",2162032,2164151,"VT01082",50,".",NA
"335","chr2L",2163674,2165773,"VT01083",50,".",NA
"336","chr2L",2165686,2168791,"R35C02",1000,"-","aop"
"337","chr2L",2166885,2169009,"VT01085",50,".",NA
"338","chr2L",2168039,2171785,"R35H01",1000,"-","aop"
"339","chr2L",2168562,2170639,"VT01086",50,".",NA
"340","chr2L",2171147,2175070,"R36A12",1000,"-","aop"
"341","chr2L",2174407,2177923,"R35E11",1000,"-","aop"
"342","chr2L",2175042,2177227,"VT01090",50,".",NA
"343","chr2L",2176575,2178750,"VT01091",50,".",NA
"344","chr2L",2180633,2182789,"VT01093",50,".",NA
"345","chr2L",2181190,2183719,"R35A01",1000,"-","aop"
"346","chr2L",2183466,2185672,"VT01095",50,".",NA
"347","chr2L",2185001,2187155,"VT01096",50,".",NA
"348","chr2L",2186392,2188496,"VT01097",50,".",NA
"349","chr2L",2385745,2388300,"VT01205",50,".",NA
"350","chr2L",2386825,2390571,"R51H05",1000,"+","VGlut"
"351","chr2L",2387698,2389894,"VT01206",50,".",NA
"352","chr2L",2389423,2391520,"VT01207",50,".",NA
"353","chr2L",2389957,2392838,"R51C09",1000,"+","VGlut"
"354","chr2L",2391160,2393260,"VT01208",50,".",NA
"355","chr2L",2391749,2395571,"R52A01",1000,"+","VGlut"
"356","chr2L",2394458,2397315,"R51C07",1000,"+","VGlut"
"357","chr2L",2396184,2398418,"VT01211",50,".",NA
"358","chr2L",2396419,2400005,"R51G05",1000,"+","VGlut"
"359","chr2L",2400318,2401279,"R50G04",1000,"+",NA
"360","chr2L",2400852,2401943,"R50G08",1000,"+","VGlut"
"361","chr2L",2401416,2403652,"VT01214",50,".",NA
"362","chr2L",2402269,2404806,"R51B08",1000,"+","VGlut"
"363","chr2L",2402627,2404928,"VT01215",50,".",NA
"364","chr2L",2405031,2405532,"R50E01",1000,"+","VGlut"
"365","chr2L",2405694,2406243,"R58D11",1000,"+","VGlut"
"366","chr2L",2406788,2407625,"VT01217",50,".",NA
"367","chr2L",2410581,2411460,"VT01218",50,".",NA
"368","chr2L",2412032,2414739,"VT01219",50,".",NA
"369","chr2L",2422924,2426494,"R17B11",1000,"+",NA
"370","chr2L",2425041,2428154,"R16G02",1000,"+",NA
"371","chr2L",2428913,2432834,"R17E04",1000,"+","dpp"
"372","chr2L",2432214,2435785,"R19B04",1000,"+","dpp"
"373","chr2L",2435128,2438996,"R19D09",1000,"+","dpp"
"374","chr2L",2437740,2441702,"R19E03",1000,"+",NA
"375","chr2L",2440970,2444735,"R19C03",1000,"+",NA
"376","chr2L",2443862,2447810,"R19E02",1000,"+","dpp"
"377","chr2L",2446783,2449086,"R18D08",1000,"+",NA
"378","chr2L",2450278,2451074,"R17G08",1000,"+","dpp"
"379","chr2L",2452372,2454885,"R18E05",1000,"+","dpp"
"380","chr2L",2455899,2457734,"R18B08",1000,"+",NA
"381","chr2L",2552795,2555342,"VT01298",50,".",NA
"382","chr2L",2752765,2754884,"VT01404",50,".",NA
"383","chr2L",2756568,2758563,"VT01406",50,".",NA
"384","chr2L",2782626,2784909,"VT01418",50,".",NA
"385","chr2L",2783246,2786523,"R15A02",1000,"-",NA
"386","chr2L",2784407,2786624,"VT01419",50,".",NA
"387","chr2L",2784755,2787078,"R14D04",1000,"-",NA
"388","chr2L",2786136,2788266,"VT01420",50,".",NA
"389","chr2L",2787129,2790472,"R15A03",1000,"-","Syt1"
"390","chr2L",2789916,2792242,"R14D05",1000,"-","Syt1"
"391","chr2L",2792851,2794953,"VT01424",50,".",NA
"392","chr2L",2793771,2796951,"R14H08",1000,"-","Syt1"
"393","chr2L",2794536,2796616,"VT01425",50,".",NA
"394","chr2L",2795648,2798549,"R14G07",1000,"-",NA
"395","chr2L",2796193,2798405,"VT01426",50,".",NA
"396","chr2L",2797882,2800037,"VT01427",50,".",NA
"397","chr2L",2798803,2799937,"R14A10",1000,"-","Syt1"
"398","chr2L",2800323,2804443,"R15F11",1000,"-",NA
"399","chr2L",2807261,2809453,"VT01432",50,".",NA
"400","chr2L",2812100,2812500,"VT01434",50,".",NA
"401","chr2L",2886358,2888381,"R43F12",1000,"+",NA
"402","chr2L",2888371,2890667,"R43H06",1000,"+",NA
"403","chr2L",2889077,2891230,"VT01483",50,".",NA
"404","chr2L",2890802,2893135,"R44A01",1000,"+","lilli"
"405","chr2L",2890846,2893013,"VT01484",50,".",NA
"406","chr2L",2891878,2895533,"R45E06",1000,"+","lilli"
"407","chr2L",2894047,2897960,"R46C03",1000,"+","lilli"
"408","chr2L",2897343,2901250,"R46B09",1000,"+","lilli"
"409","chr2L",2897706,2899997,"VT01488",50,".",NA
"410","chr2L",2900649,2904248,"R45D05",1000,"+","lilli"
"411","chr2L",2906819,2910569,"R45G08",1000,"+",NA
"412","chr2L",2909902,2913243,"R44H11",1000,"+","lilli"
"413","chr2L",2912530,2916348,"R45H12",1000,"+",NA
"414","chr2L",2913618,2915809,"VT01497",50,".",NA
"415","chr2L",2914876,2917804,"R44E10",1000,"+",NA
"416","chr2L",2919294,2923020,"R45G04",1000,"+","lilli"
"417","chr2L",2922194,2925713,"R45C01",1000,"+",NA
"418","chr2L",2925167,2929161,"R46E03",1000,"+","lilli"
"419","chr2L",2930014,2933271,"R44H01",1000,"+","lilli"
"420","chr2L",2935500,2938429,"R44E11",1000,"+",NA
"421","chr2L",2937402,2940177,"R44D11",1000,"+","lilli"
"422","chr2L",2939201,2942916,"R45F10",1000,"+",NA
"423","chr2L",2941587,2945459,"R46A12",1000,"+",NA
"424","chr2L",2953118,2957037,"R90E07",1000,"+",NA
"425","chr2L",2955409,2956935,"R39D03",1000,"+",NA
"426","chr2L",2957222,2960743,"R41D06",1000,"+","Rbp9"
"427","chr2L",3104015,3106249,"VT01592",50,".",NA
"428","chr2L",3105912,3108009,"VT01593",50,".",NA
"429","chr2L",3107641,3109719,"VT01594",50,".",NA
"430","chr2L",3110675,3112763,"VT01595",50,".",NA
"431","chr2L",3112208,3114392,"VT01596",50,".",NA
"432","chr2L",3113886,3116075,"VT01597",50,".",NA
"433","chr2L",3115509,3117607,"VT01598",50,".",NA
"434","chr2L",3117111,3119207,"VT01599",50,".",NA
"435","chr2L",3118721,3120841,"VT01600",50,".",NA
"436","chr2L",3120271,3122509,"VT01601",50,".",NA
"437","chr2L",3127612,3128819,"VT01603",50,".",NA
"438","chr2L",3129297,3131498,"VT01604",50,".",NA
"439","chr2L",3131039,3133133,"VT01605",50,".",NA
"440","chr2L",3132691,3134770,"VT01606",50,".",NA
"441","chr2L",3135974,3138083,"VT01608",50,".",NA
"442","chr2L",3137525,3139706,"VT01609",50,".",NA
"443","chr2L",3139247,3141325,"VT01610",50,".",NA
"444","chr2L",3140879,3142974,"VT01611",50,".",NA
"445","chr2L",3142401,3144723,"VT01612",50,".",NA
"446","chr2L",3148529,3150784,"VT01615",50,".",NA
"447","chr2L",3149226,3151139,"R43F04",1000,"-",NA
"448","chr2L",3152207,3154299,"VT01617",50,".",NA
"449","chr2L",3152866,3156567,"R45F05",1000,"-","Mad"
"450","chr2L",3154007,3156123,"VT01618",50,".",NA
"451","chr2L",3155620,3157866,"VT01619",50,".",NA
"452","chr2L",3155981,3159657,"R45F01",1000,"-",NA
"453","chr2L",3475934,3478473,"VT01787",50,".",NA
"454","chr2L",3494590,3495514,"R14A02",1000,"-","tim"
"455","chr2L",3495853,3499346,"R15B04",1000,"-","tim"
"456","chr2L",3504545,3507204,"R14F08",1000,"-","tim"
"457","chr2L",3582681,3584773,"VT01839",50,".",NA
"458","chr2L",3598602,3600704,"VT01848",50,".",NA
"459","chr2L",3657967,3661638,"R75G09",1000,"+",NA
"460","chr2L",3663746,3666133,"R75G12",1000,"+","Drgx"
"461","chr2L",3665338,3668088,"R75H04",1000,"+","Drgx"
"462","chr2L",3669986,3672225,"VT01885",50,".",NA
"463","chr2L",3670278,3672959,"R75G10",1000,"+","Drgx"
"464","chr2L",3673455,3675644,"VT01887",50,".",NA
"465","chr2L",3673543,3674892,"R82G06",1000,"+",NA
